Transect Number,Transect Name,Year,Species code,Total bird count,Total transect distance surveyed (km)
Numéro de transect,Nom du transect,Année,Code de l?espèce,Nombre total d?oiseaux,Distance totale du transect faisant l?objet du relevé (km)
3,BGI OUTER TRANSECT,2015,PALO,52,87.36
3,BGI OUTER TRANSECT,2015,PECO,44,87.36
3,BGI OUTER TRANSECT,2015,PIGU,24,87.36
3,BGI OUTER TRANSECT,2015,RHAU,66,87.36
3,BGI OUTER TRANSECT,2015,SCOT,9,87.36
1,WCT TRANSECT,2016,BRCO,14,347.8
1,WCT TRANSECT,2016,COMU,832,347.8
1,WCT TRANSECT,2016,CORM,44,347.8
1,WCT TRANSECT,2016,LOON,7,347.8
1,WCT TRANSECT,2016,MAMU,2283,347.8
1,WCT TRANSECT,2016,PALO,140,347.8
1,WCT TRANSECT,2016,PECO,604,347.8
1,WCT TRANSECT,2016,PIGU,519,347.8
1,WCT TRANSECT,2016,RHAU,106,347.8
1,WCT TRANSECT,2016,SCOT,634,347.8
2,BGI INNER TRANSECT,2016,COMU,1,46.05
2,BGI INNER TRANSECT,2016,MAMU,59,46.05
2,BGI INNER TRANSECT,2016,PALO,3,46.05
2,BGI INNER TRANSECT,2016,PECO,6,46.05
2,BGI INNER TRANSECT,2016,PIGU,5,46.05
3,BGI OUTER TRANSECT,2016,BRCO,6,72.8
3,BGI OUTER TRANSECT,2016,COMU,12,72.8
3,BGI OUTER TRANSECT,2016,CORM,3,72.8
3,BGI OUTER TRANSECT,2016,LOON,1,72.8
3,BGI OUTER TRANSECT,2016,MAMU,272,72.8
3,BGI OUTER TRANSECT,2016,PALO,34,72.8
3,BGI OUTER TRANSECT,2016,PECO,20,72.8
3,BGI OUTER TRANSECT,2016,PIGU,22,72.8
3,BGI OUTER TRANSECT,2016,RHAU,12,72.8
3,BGI OUTER TRANSECT,2016,SCOT,4,72.8
1,WCT TRANSECT,2017,BRCO,16,344.8
1,WCT TRANSECT,2017,COMU,842,344.8
1,WCT TRANSECT,2017,CORM,1,344.8
1,WCT TRANSECT,2017,MAMU,2459,344.8
1,WCT TRANSECT,2017,PALO,175,344.8
1,WCT TRANSECT,2017,PECO,561,344.8
1,WCT TRANSECT,2017,PIGU,322,344.8
1,WCT TRANSECT,2017,RHAU,430,344.8
1,WCT TRANSECT,2017,SCOT,64,344.8
1,WCT TRANSECT,2017,SOSH,6,344.8
2,BGI INNER TRANSECT,2017,BRCO,5,55.26
2,BGI INNER TRANSECT,2017,COMU,13,55.26
2,BGI INNER TRANSECT,2017,MAMU,163,55.26
2,BGI INNER TRANSECT,2017,PALO,6,55.26
2,BGI INNER TRANSECT,2017,PECO,26,55.26
2,BGI INNER TRANSECT,2017,PIGU,17,55.26
2,BGI INNER TRANSECT,2017,RHAU,2,55.26
2,BGI INNER TRANSECT,2017,SCOT,1,55.26
3,BGI OUTER TRANSECT,2017,BRCO,4,87.36
3,BGI OUTER TRANSECT,2017,COMU,68,87.36
3,BGI OUTER TRANSECT,2017,CORM,3,87.36
3,BGI OUTER TRANSECT,2017,MAMU,288,87.36
3,BGI OUTER TRANSECT,2017,PALO,30,87.36
3,BGI OUTER TRANSECT,2017,PECO,46,87.36
3,BGI OUTER TRANSECT,2017,PIGU,27,87.36
3,BGI OUTER TRANSECT,2017,RHAU,6,87.36
